Date/Time,Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 08/03  03:00:00,2206408.707058266,2206408.707058266,2195445.851437597 
 08/03  04:00:00,2155182.0550951475,2155182.0550951475,1780495.1105090618 
 08/03  05:00:00,2291055.620266884,2291055.620266884,1590092.5463409657 
 08/03  06:00:00,2813501.501521538,2813501.501521538,486167.42835056086 
 08/03  07:00:00,3371875.054726362,3371875.054726362,2133783.778707418 
 08/03  08:00:00,3729475.7780087266,3729475.7780087266,3562320.6188364627 
 08/03  09:00:00,3298618.617333378,3298618.617333378,6953288.731677626 
 08/03  10:00:00,3122592.2634365067,3122592.2634365067,8992128.20113445 
 08/03  11:00:00,3178856.656011372,3178856.656011372,8424319.277672556 
 08/03  12:00:00,3222596.597944462,3222596.597944462,8832413.885457794 
 08/03  13:00:00,3174829.2448341168,3174829.2448341168,7324522.698451748 
